city,diesel,petrol,Petrol-Diesel Gap,Petrol Price Rank,Price Tier
Viluppuram,93.81,102.26,8.45,289,High
Virudunagar,93.46,101.84,8.38,307,High
Vishakhapatnam,96.22,108.35,12.13,26,Very High
Vizianagaram,97.29,109.5,12.21,6,Very High
Wanaparthy,97.0,108.83,11.83,15,Very High
Warangal,95.34,107.08,11.74,79,Very High
Warangal Rural,95.17,106.89,11.72,96,Very High
Wardha,91.41,104.88,13.47,217,High
Washim,91.43,104.9,13.47,215,High
Wayanad,95.95,107.16,11.21,74,Very High
West Champaran,93.8,106.94,13.14,88,Very High
West Delhi,87.67,94.77,7.1,614,Low
West District,89.0,101.75,12.75,317,High
West Garo Hills,87.16,95.7,8.54,520,Moderate
West Godavari,97.62,109.82,12.2,3,Very High
West Imphal,85.37,99.33,13.96,393,Moderate
West Kameng,82.03,92.39,10.36,688,Low
West Karbi Anglong,90.91,99.7,8.79,373,Moderate
West Khasi Hills,87.75,96.24,8.49,501,Moderate
West Siang,82.01,92.36,10.35,691,Low
West Singhbhum,93.89,99.16,5.27,399,Moderate
West Tripura,86.55,97.53,10.98,461,Moderate
Wokha,88.5,97.16,8.66,477,Moderate
Yadadri Bhuvanagiri,95.87,107.63,11.76,56,Very High
Yadgir,89.37,103.31,13.94,255,High
Yamunanagar,88.35,95.52,7.17,531,Low
Yanam,86.75,96.92,10.17,486,Moderate
Yavatmal,92.03,105.5,13.47,175,High
Zunheboto,89.71,98.25,8.54,437,Moderate
